Company_name,Field,Company_age,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Broadridge Financial Solutions,FinTech ,17,3.9,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1000,93000,79,52,143
Edelweiss,Financial Services ,7,3.8,Work Life Balance,Promotions / Appraisal,1000,81000,50,22,132
Sharekhan,Financial Services ,24,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1000,49000,45,46,119
Evalueserve,IT Services & Consulting ,24,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1000,96000,66,126,144
Pine Labs,FinTech ,26,3.8,Salary & Benefits,"Promotions / Appraisal, Job Security",1000,53000,52,71,119
Newgen Software Technologies,IT Services & Consulting ,32,3.6,Job Security,"Work Satisfaction, Skill Development / Learning, Promotions / Appraisal",988,101000,117,93,166
Fino Payments Bank,Banking ,18,4.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,975,37000,35,27,97
Physicswallah,EdTech ,5,3.9,"Skill Development / Learning, Company Culture",Promotions / Appraisal,972,27000,96,87,22
FDC,Pharma ,84,4.0,Work Life Balance,Promotions / Appraisal,970,33000,37,4,91
ECIL,Electronics Manufacturing ,57,4.1,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal,963,36000,31,2,110
BVG India,Facility Management Services ,27,4.1,Work Life Balance,Promotions / Appraisal,958,35000,33,5,100
Aditya Birla Health Insurance Co,Insurance ,9,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,958,52000,48,4,91
SKF,Auto Components ,101,4.0,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security",952,42000,47,17,158
Fidelity National Financial,Financial Services ,177,3.8,Job Security,"Promotions / Appraisal, Work Satisfaction",943,58000,40,3,161
ManpowerGroup,Recruitment ,29,4.0,Work Life Balance,"Promotions / Appraisal, Job Security",934,48000,35,161,81
SAI Life Sciences,Pharma ,25,3.8,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,929,49000,63,14,134
Shriram Pistons & Rings,Auto Components ,61,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,924,44000,48,6,142
Atul,Chemicals ,77,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,923,47000,55,4,121
Fresenius Kabi,Pharma ,112,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,919,44000,29,3,125
Tata AutoComp Systems,Auto Components ,26,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,903,49000,53,25,106
Wistron,Electronics Manufacturing ,23,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",903,49000,65,22,150
TELUS International Philippines,IT Services & Consulting ,19,3.8,Work Life Balance,Promotions / Appraisal,901,62000,55,95,44
Wind World,Power ,30,4.0,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",895,32000,54,2,122
Eaton Corporation,Power ,113,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,894,68000,79,92,133
Godrej Consumer Products,FMCG ,23,4.3,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,885,42000,34,8,125
Godrej Properties,Real Estate ,34,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",883,56000,52,71,112
PNB Housing Finance,Financial Services ,36,3.9,Job Security,Promotions / Appraisal,882,42000,34,3,90
Jaquar,Building Material ,64,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,877,41000,37,1,123
Spencer's Retail,Retail ,161,3.9,"Job Security, Company Culture",Promotions / Appraisal,873,29000,32,10,99
